transaction_id,date,transaction_type,asset_type,ticker,isin,shares,price,currency,fx_to_eur,fees_eur,amount_eur,comments
50,2026-08-04,WITHDRAWAL,CASH,,,0.000000,0.0000,EUR,1,0,500,
51,2026-08-05,DEPOSIT,CASH,,,0.000000,0.0000,EUR,1,0,5000,
52,2026-08-05,BUY,STOCK,AAPL,US0378331005,5.000000,211.4200,USD,0.917,1,0,
53,2026-08-05,BUY,STOCK,MSFT,US5949181045,3.000000,503.1100,USD,0.917,1,0,
54,2026-08-06,BUY,STOCK,ASML.AS,NL0010273215,1.250000,821.3000,EUR,1,1,0,
55,2026-08-06,BUY,STOCK,SAP.DE,DE0007164600,4.000000,259.7500,EUR,1,1,0,
56,2026-08-07,BUY,STOCK,NVDA,US67066G1040,8.000000,176.2400,USD,0.92,1,0,
57,2026-08-07,BUY,STOCK,AMZN,US0231351067,5.000000,219.6500,USD,0.92,1,0,
58,2026-08-08,SELL,STOCK,AAPL,US0378331005,1.500000,224.8000,USD,0.918,1,0,
59,2026-08-08,BUY,STOCK,AIR.PA,NL0000235190,3.500000,184.1000,EUR,1,1,0,
60,2026-08-09,DEPOSIT,CASH,,,0.000000,0.0000,EUR,1,0,3000,
61,2026-08-09,BUY,STOCK,NOVO-B.CO,DK0062498333,10.000000,445.0000,DKK,0.134,1.2,0,
62,2026-08-10,BUY,STOCK,SIE.DE,DE0007236101,2.200000,219.5000,EUR,1,1,0,
63,2026-08-10,BUY,STOCK,GOOGL,US02079K3059,4.000000,201.2000,USD,0.915,1,0,
64,2026-08-11,BUY,STOCK,KO,US1912161007,10.000000,70.5000,USD,0.915,1,0,
65,2026-08-11,BUY,STOCK,MC.PA,FR0000121014,1.500000,510.8000,EUR,1,1,0,
66,2026-08-12,BUY,STOCK,ADS.DE,DE000A1EWWW0,2.750000,198.4000,EUR,1,1,0,
68,2026-08-13,SELL,STOCK,MSFT,US5949181045,0.750000,525.4000,USD,0.914,1,0,
69,2026-08-13,BUY,STOCK,AAPL,US0378331005,2.000000,229.1500,USD,0.914,1,0,
70,2026-08-14,WITHDRAWAL,CASH,,,0.000000,0.0000,EUR,1,0,750,
71,2026-08-14,DEPOSIT,CASH,,,0.000000,0.0000,EUR,1,0,2000,
72,2026-08-14,BUY,STOCK,NVDA,US67066G1040,5.000000,182.3000,USD,0.916,1,0,
73,2026-08-15,SELL,STOCK,AMZN,US0231351067,1.250000,226.7500,USD,0.916,1,0,
74,2026-08-15,BUY,STOCK,ASML.AS,NL0010273215,0.800000,846.2000,EUR,1,1,0,
75,2026-08-16,BUY,STOCK,SAP.DE,DE0007164600,1.500000,265.1000,EUR,1,1,0,
76,2026-08-17,SELL,STOCK,KO,US1912161007,3.000000,71.8000,USD,0.912,1,0,
77,2026-08-17,BUY,STOCK,GOOGL,US02079K3059,1.200000,204.9000,USD,0.912,1,0,
78,2026-08-18,BUY,STOCK,AIR.PA,NL0000235190,2.000000,188.6000,EUR,1,1,0,
79,2026-08-18,BUY,STOCK,SIE.DE,DE0007236101,1.100000,223.7500,EUR,1,1,0,
80,2026-08-19,INTEREST,CASH,,,0.000000,0.0000,EUR,1,0,6.84,
